"Year","Grain","Region","Avg_Production","High_Count","Low_Count"
1949,"Barley","United States","237.071","0","1"
1963,"Sorghum","United States","585.394","0","0"
1958,"Sorghum","United States","581.012","0","0"
1894,"Corn","United States","1615.016","1","0"
1989,"Oats","United States","373.587","0","0"
1873,"Oats","United States","306.906","0","1"
1943,"Oats","United States","1139.831","1","0"
1877,"Barley","United States","39.173","0","1"
1967,"Barley","United States","373.745","0","0"
1885,"Corn","United States","2057.807","1","0"
2014,"Barley","United States","181.542","0","1"
1975,"Corn","United States","5840.757","1","0"
2007,"Barley","United States","210.11","0","1"
1896,"Oats","United States","774.929","0","0"
1878,"Barley","United States","37.448","0","1"
2005,"Corn","United States","11112.187","1","0"
1926,"Corn","United States","2140.207","1","0"
1868,"Oats","United States","229.676","0","1"
1986,"Oats","United States","384.996","0","0"
1902,"Oats","United States","1076.899","1","0"
1914,"Oats","United States","1066.328","1","0"
1902,"Corn","United States","2773.954","1","0"
1883,"Corn","United States","1652.148","1","0"
1943,"Barley","United States","322.913","0","1"
1872,"Corn","United States","1279.369","1","0"
1990,"Corn","United States","7934.028","1","0"
1873,"Barley","United States","30.536","0","1"
1980,"Barley","United States","361.135","0","0"
1981,"Barley","United States","473.512","0","0"
2002,"Oats","United States","116.002","0","1"
2012,"Corn","United States","10755.111","1","0"
2019,"Corn","United States","13568.306","1","0"
1918,"Barley","United States","225.067","0","1"
1991,"Corn","United States","7474.765","1","0"
2000,"Sorghum","United States","470.526","0","0"
1973,"Sorghum","United States","923.224","0","0"
1948,"Barley","United States","315.537","0","1"
1916,"Oats","United States","1138.969","1","0"
1930,"Corn","United States","1757.297","1","0"
1931,"Barley","United States","200.28","0","1"
1939,"Oats","United States","957.704","0","0"
1984,"Barley","United States","598.034","0","0"
1967,"Oats","United States","793.8","0","0"
1884,"Oats","United States","640.52","0","0"
1964,"Sorghum","United States","489.796","0","0"
1903,"Oats","United States","885.469","0","0"
1933,"Corn","United States","2104.725","1","0"
1996,"Corn","United States","9232.557","1","0"
2014,"Oats","United States","70.232","0","1"
1916,"Barley","United States","159.157","0","1"
1898,"Oats","United States","842.205","0","0"
1969,"Oats","United States","965.863","0","0"
1911,"Barley","United States","145.074","0","1"
1945,"Oats","United States","1523.851","1","0"
1952,"Oats","United States","1217.433","1","0"
2010,"Oats","United States","81.856","0","1"
2002,"Barley","United States","226.906","0","1"
1938,"Sorghum","United States","67.21","0","1"
2023,"Corn","United States","15340.52","1","0"
1957,"Barley","United States","442.761","0","0"
1990,"Barley","United States","422.196","0","0"
1980,"Corn","United States","6639.396","1","0"
1887,"Barley","United States","72.395","0","1"
1929,"Sorghum","United States","49.967","0","1"
1991,"Barley","United States","464.326","0","0"
1936,"Oats","United States","792.583","0","0"
1897,"Corn","United States","2287.628","1","0"
1926,"Barley","United States","166.03","0","1"
1866,"Barley","United States","18.095","0","1"
1997,"Corn","United States","9206.832","1","0"
1979,"Oats","United States","526.748","0","0"
1958,"Barley","United States","477.368","0","0"
1933,"Oats","United States","736.309","0","0"
1923,"Oats","United States","1227.184","1","0"
2024,"Corn","United States","14866.744","1","0"
1942,"Sorghum","United States","109.653","0","1"
1933,"Sorghum","United States","54.386","0","1"
2008,"Sorghum","United States","475.855","0","0"
1951,"Corn","United States","2628.937","1","0"
1942,"Corn","United States","2801.819","1","0"
1992,"Corn","United States","9476.698","1","0"
1992,"Oats","United States","294.229","0","1"
1903,"Corn","United States","2515.093","1","0"
2023,"Oats","United States","57.045","0","1"
1941,"Sorghum","United States","113.543","0","1"
1964,"Oats","United States","852.257","0","0"
1989,"Sorghum","United States","615.42","0","0"
1999,"Corn","United States","9430.612","1","0"
1874,"Corn","United States","1058.778","0","0"
1956,"Sorghum","United States","204.881","0","1"
1951,"Oats","United States","1277.647","1","0"
1904,"Corn","United States","2686.624","1","0"
2010,"Corn","United States","12425.33","1","0"
1912,"Corn","United States","2947.842","1","0"
1884,"Corn","United States","1947.838","1","0"
1995,"Corn","United States","7400.051","1","0"
2011,"Sorghum","United States","212.993","0","1"
1937,"Barley","United States","221.889","0","1"
1886,"Corn","United States","1782.767","1","0"
1981,"Corn","United States","8118.65","1","0"
1948,"Corn","United States","3307.038","1","0"
1920,"Corn","United States","2695.085","1","0"
2020,"Oats","United States","65.694","0","1"
1979,"Sorghum","United States","807.422","0","0"
1956,"Oats","United States","1151.398","1","0"
1868,"Corn","United States","919.59","0","0"
1910,"Corn","United States","2852.794","1","0"
1881,"Barley","United States","48.984","0","1"
1919,"Barley","United States","131.086","0","1"
2021,"Sorghum","United States","447.81","0","0"
1901,"Corn","United States","1715.752","1","0"
1931,"Sorghum","United States","71.914","0","1"
1968,"Oats","United States","950.689","0","0"
